Tree,Campaign,Year,Position,Age,Ring,C.treat,Photo,gs,Ci,CO2S.mean,Tleaf,Vcmax,Jmax,LMA,Leaf N,GapFr,Openness,log(Open)
302,DFeb_2016,2016,lower,new,3,0C,20.5,0.298,267,393.81,27.975,108.394698,135.486479,130.9499791,,,,
320,DFeb_2016,2016,lower,new,3,0C,14.9,0.188,255,395.79,26.94,82.74437693,127.389905,144.8015961,,,,
422,DFeb_2016,2016,lower,new,4,+C,17.7,0.188,228,395.36,26.2,101.0655018,155.0326144,178.757598,,,,
501,DFeb_2016,2016,lower,new,5,+C,14.9,0.224,272,395.065,27.945,84.48576416,125.9325147,123.5846574,,,,
513,DFeb_2016,2016,lower,new,5,+C,16.8,0.2155,250.5,391.055,28.01,102.1863514,134.430025,124.2063483,,,,
603,DFeb_2016,2016,lower,new,6,0C,18,0.378,302,393.85,26.7,80.17918235,121.157124,144.3254141,,,,
607,DFeb_2016,2016,lower,new,6,0C,17.1,0.212,246,392.165,28.14,97.18144834,122.9033178,133.6594881,,,,
116,AMay_2014,2014,upper,old,1,+C,19.35,0.257,258,396.51,23.545,75.988056,140.3777787,194.1704126,1.770339847,82.115,84.54,1.927062243
117,AMay_2014,2014,upper,old,1,+C,21.1,0.416,296.5,394.5,24.195,84.68527977,153.2167127,186.0062319,1.665709555,,,
122,AMay_2014,2014,upper,old,1,+C,14.65,0.191,258.5,397.575,23.26,65.53325864,124.1247755,195.4122925,1.702764988,80.725,83.085,1.919522624
202,AMay_2014,2014,upper,old,2,0C,21.4,0.4435,300,394.55,23.695,82.73485476,140.8479777,151.098099,2.072197437,79.87,82.56,1.916769684
208,AMay_2014,2014,upper,old,2,0C,23.45,0.503,301.5,394.15,22.975,81.73104054,158.7847162,172.076191,2.058888316,,,
209,AMay_2014,2014,upper,old,2,0C,18.3,0.468,319.5,395.975,22.265,62.6955936,117.7124132,187.1704548,1.951964617,81.48,83.87,1.923606643
301,AMay_2014,2014,upper,old,3,0C,18.85,0.26,265.5,396.64,22.5,71.49423448,124.8889401,159.8636157,1.831462324,,,
302,AMay_2014,2014,upper,old,3,0C,17.9,0.246,265,396.875,23.295,73.4861503,129.7845582,166.0134718,1.726440549,,,
320,AMay_2014,2014,upper,old,3,0C,20.3,0.342,282,393.67,24.35,77.98305228,128.4833472,172.7307618,1.387668014,78.36,81.15,1.909288524
403,AMay_2014,2014,upper,old,4,+C,19.8,0.349,286,395.055,22.39,71.39999751,137.7885701,162.5058009,1.835219383,,,
408,AMay_2014,2014,upper,old,4,+C,20.6,0.3135,271.5,398.61,22.065,75.50711058,146.2065241,159.740375,1.853561819,76.2,79.36,1.899601659
422,AMay_2014,2014,upper,old,4,+C,19.9,0.387,294.5,394.725,21.945,71.14022405,145.3955009,200.3767941,2.004301727,79.16,81.8,1.912753304
501,AMay_2014,2014,upper,old,5,+C,14.1,0.1575,235.5,392.84,22.13,55.01865667,119.4273089,187.4611154,1.505710661,75.86,79.19,1.898670343
502,AMay_2014,2014,upper,old,5,+C,19.6,0.2135,232.5,394.58,24.135,96.75169327,174.1037067,179.5301946,1.925636768,,,
513,AMay_2014,2014,upper,old,5,+C,23,0.355,266,388.985,22.34,87.13290193,169.5936197,206.4772075,1.750117838,77.35,80.43,1.905418069
603,AMay_2014,2014,upper,old,6,0C,17.25,0.242,268,395.815,22.09,63.38484149,115.2996406,181.6358309,1.724317253,79.05,81.68,1.912115729
607,AMay_2014,2014,upper,old,6,0C,21.25,0.339,274.5,391.945,22.435,74.40655517,129.276453,182.7306599,1.821754873,79.85,82.66,1.917295401
